datetime,Los Angeles
2012-10-07,21.496774193548386
2012-10-28,19.80297619047619
2012-11-18,17.09404761904762
2012-12-09,15.530952380952382
2012-12-30,12.11845238095238
2013-01-20,10.507738095238095
2013-02-10,13.143253968253967
2013-03-03,13.223611111111111
2013-03-24,14.43824701195219
2013-04-14,15.915674603174603
2013-05-05,17.481150793650794
2013-05-26,18.87936507936508
2013-06-16,19.081746031746032
2013-07-07,21.86488095238095
2013-07-28,21.882142857142856
2013-08-18,19.75
2013-09-08,24.884126984126986
2013-09-29,20.917063492063495
2013-10-20,18.350595238095238
2013-11-10,13.866468253968254
2013-12-01,15.716666666666667
2013-12-22,12.244841269841269
2014-01-12,14.871031746031745
2014-02-02,16.954761904761906
2014-02-23,14.496626984126985
2014-03-16,15.705158730158729
2014-04-06,14.986706349206349
2014-04-27,17.436309523809523
2014-05-18,20.46150793650794
2014-06-08,19.348412698412698
2014-06-29,19.76388888888889
2014-07-20,22.523015873015872
2014-08-10,23.185119047619047
2014-08-31,22.0515873015873
2014-09-21,22.854166666666668
2014-10-12,19.08095238095238
2014-11-02,14.969047619047618
2014-11-23,11.685119047619049
2014-12-14,10.733333333333334
2015-01-04,5.817261904761905
2015-01-25,10.106944444444444
2015-02-15,12.419841269841271
2015-03-08,10.206349206349206
2015-03-29,16.09464285714286
2015-04-19,13.247619047619049
2015-05-10,14.611309523809524
2015-05-31,14.523214285714285
2015-06-21,19.897420634920632
2015-07-12,22.601984126984128
2015-08-02,23.619642857142857
2015-08-23,24.31111111111111
2015-09-13,25.545833333333334
2015-10-04,23.757142857142856
2015-10-25,22.206746031746032
2015-11-15,17.157738095238095
2015-12-06,14.469444444444445
2015-12-27,12.02202380952381
2016-01-17,10.700396825396826
2016-02-07,13.641865079365079
2016-02-28,17.794444444444444
2016-03-20,15.752579365079365
2016-04-10,16.49126984126984
2016-05-01,17.83392857142857
2016-05-22,17.362301587301587
2016-06-12,19.30238095238095
2016-07-03,23.55456349206349
2016-07-24,24.138293650793653
2016-08-14,24.879960317460316
2016-09-04,23.615277777777777
2016-09-25,21.508531746031746
2016-10-16,19.025198412698415
2016-11-06,16.195833333333333
2016-11-27,17.64265873015873
2016-12-18,13.39345238095238
2017-01-08,12.824007936507936
2017-01-29,11.800396825396824
2017-02-19,13.652380952380954
2017-03-12,13.92142857142857
2017-04-02,16.689285714285713
2017-04-23,17.41190476190476
2017-05-14,18.425992063492064
2017-06-04,18.84206349206349
2017-06-25,21.03095238095238
2017-07-16,23.780158730158732
2017-08-06,24.026785714285715
2017-08-27,22.428373015873014
2017-09-17,24.831944444444442
2017-10-08,20.784126984126985
2017-10-29,22.360714285714284
2017-11-19,17.521626984126982
2017-12-10,18.57759336099585
