datetime,Los Angeles
2012-10-07,21.496774193548386
2012-10-14,18.36904761904762
2012-10-21,21.79285714285714
2012-10-28,19.24702380952381
2012-11-04,17.53988095238095
2012-11-11,18.23333333333333
2012-11-18,15.508928571428571
2012-11-25,15.348809523809523
2012-12-02,15.439285714285715
2012-12-09,15.804761904761904
2012-12-16,13.152380952380952
2012-12-23,11.613095238095237
2012-12-30,11.589880952380952
2013-01-06,9.90952380952381
2013-01-13,10.494047619047619
2013-01-20,11.119642857142857
2013-01-27,15.586904761904762
2013-02-03,11.569642857142858
2013-02-10,12.273214285714285
2013-02-17,12.851785714285715
2013-02-24,11.70357142857143
2013-03-03,15.11547619047619
2013-03-10,12.691071428571428
2013-03-17,15.98313253012048
2013-03-24,14.65892857142857
2013-03-31,15.649999999999999
2013-04-07,15.730952380952383
2013-04-14,16.366071428571427
2013-04-21,16.304166666666667
2013-04-28,17.19345238095238
2013-05-05,18.945833333333333
2013-05-12,17.589285714285715
2013-05-19,20.33809523809524
2013-05-26,18.710714285714285
2013-06-02,19.629166666666666
2013-06-09,18.65952380952381
2013-06-16,18.95654761904762
2013-06-23,19.655952380952378
2013-06-30,22.057738095238093
2013-07-07,23.88095238095238
2013-07-14,22.570833333333333
2013-07-21,22.035714285714285
2013-07-28,21.03988095238095
2013-08-04,19.185119047619047
2013-08-11,19.339285714285715
2013-08-18,20.725595238095238
2013-08-25,22.617261904761904
2013-09-01,25.392261904761902
2013-09-08,26.642857142857142
2013-09-15,22.414285714285715
2013-09-22,20.310119047619047
2013-09-29,20.026785714285715
2013-10-06,19.854761904761904
2013-10-13,15.927380952380954
2013-10-20,19.26964285714286
2013-10-27,15.932142857142857
2013-11-03,10.826785714285714
2013-11-10,14.84047619047619
2013-11-17,18.281547619047622
2013-11-24,14.404761904761905
2013-12-01,14.463690476190477
2013-12-08,10.676190476190476
2013-12-15,11.305357142857142
2013-12-22,14.75297619047619
2013-12-29,16.160119047619048
2014-01-05,14.535119047619048
2014-01-12,13.917857142857141
2014-01-19,21.22797619047619
2014-01-26,16.013095238095236
2014-02-02,13.623214285714285
2014-02-09,11.732142857142858
2014-02-16,16.41488095238095
2014-02-23,15.342857142857142
2014-03-02,13.798214285714286
2014-03-09,15.741666666666665
2014-03-16,17.575595238095236
2014-03-23,16.27797619047619
2014-03-30,15.178571428571429
2014-04-06,13.503571428571428
2014-04-13,18.69345238095238
2014-04-20,17.070833333333333
2014-04-27,16.544642857142858
2014-05-04,20.438690476190477
2014-05-11,16.70952380952381
2014-05-18,24.236309523809524
2014-05-25,17.799404761904764
2014-06-01,20.649404761904762
2014-06-08,19.59642857142857
2014-06-15,19.276190476190475
2014-06-22,19.176190476190477
2014-06-29,20.839285714285715
2014-07-06,22.81547619047619
2014-07-13,23.195238095238096
2014-07-20,21.558333333333334
2014-07-27,23.551785714285714
2014-08-03,24.407738095238095
2014-08-10,21.59583333333333
2014-08-17,22.945833333333333
2014-08-24,20.607738095238094
2014-08-31,22.601190476190474
2014-09-07,21.254166666666666
2014-09-14,23.975
2014-09-21,23.333333333333332
2014-09-28,19.34642857142857
2014-10-05,19.100595238095238
2014-10-12,18.79583333333333
2014-10-19,15.43452380952381
2014-10-26,16.34583333333333
2014-11-02,13.126785714285715
2014-11-09,13.254166666666666
2014-11-16,11.888690476190476
2014-11-23,9.9125
2014-11-30,10.558928571428572
2014-12-07,11.723214285714286
2014-12-14,9.917857142857143
2014-12-21,7.966666666666667
2014-12-28,6.861309523809524
2015-01-04,2.623809523809524
2015-01-11,10.426785714285714
2015-01-18,8.804761904761905
2015-01-25,11.089285714285714
2015-02-01,12.16904761904762
2015-02-08,11.933333333333334
2015-02-15,13.157142857142858
2015-02-22,11.808333333333334
2015-03-01,8.960119047619047
2015-03-08,9.850595238095238
2015-03-15,15.586904761904762
2015-03-22,16.505357142857143
2015-03-29,16.191666666666666
2015-04-05,14.27797619047619
2015-04-12,10.668452380952381
2015-04-19,14.796428571428573
2015-04-26,12.485119047619047
2015-05-03,18.8625
2015-05-10,12.486309523809522
2015-05-17,12.688095238095238
2015-05-24,13.126190476190475
2015-05-31,17.755357142857143
2015-06-07,16.83452380952381
2015-06-14,20.789285714285715
2015-06-21,22.06845238095238
2015-06-28,22.89761904761905
2015-07-05,24.089880952380952
2015-07-12,20.81845238095238
2015-07-19,22.923809523809524
2015-07-26,23.785714285714285
2015-08-02,24.149404761904762
2015-08-09,23.751190476190477
2015-08-16,25.33214285714286
2015-08-23,23.85
2015-08-30,26.742261904761904
2015-09-06,21.978571428571428
2015-09-13,27.916666666666668
2015-09-20,23.274404761904762
2015-09-27,25.36964285714286
2015-10-04,22.627380952380953
2015-10-11,23.447619047619046
2015-10-18,23.860119047619047
2015-10-25,19.3125
2015-11-01,20.472619047619048
2015-11-08,16.00654761904762
2015-11-15,14.994047619047619
2015-11-22,16.410714285714285
2015-11-29,13.354166666666666
2015-12-06,13.64345238095238
2015-12-13,14.902380952380952
2015-12-20,10.547023809523811
2015-12-27,10.616666666666665
2016-01-03,9.038690476190476
2016-01-10,10.800595238095237
2016-01-17,12.261904761904763
2016-01-24,13.871428571428572
2016-01-31,14.100000000000001
2016-02-07,12.954166666666667
2016-02-14,18.860119047619047
2016-02-21,16.96309523809524
2016-02-28,17.560119047619047
2016-03-06,16.2125
2016-03-13,13.866071428571429
2016-03-20,17.179166666666667
2016-03-27,16.816666666666666
2016-04-03,15.042261904761904
2016-04-10,17.614880952380954
2016-04-17,18.093452380952378
2016-04-24,20.02559523809524
2016-05-01,15.382738095238096
